"id";"email";"first_name";"last_name";"password";"phonenum";"country";"role";"signup_date"
3;"bhavsar@gmail.com";"hani";"bhavsar";"1234";"1233456";"India";"Customer";"2023-04-21"
4;"bhavsar@gmail.com";"hani";"bhavsar";"1234";"1233456";"us";"Customer";"2023-04-21"
10;"rekhan@gmail.com";"rekha";"bhavsar";"9876554";"234567654";"India";"Customer";"2023-04-21"
11;"rekhan@gmail.com";"rekha";"bhavsar";"9876554";"234567654";"canada";"Customer";"2023-04-21"
12;"rekhan@gmail.com";"rekha";"bhavsar";"9876554";"234567654";"india";"Customer";"2023-04-21"
13;"jensi001@gmail.com";"jensi";"patel";"12345";"3456789";"India";"Customer";"2023-04-21"
14;"simranpandita@gmail.com";"simran";"pandita";"45678";"989845152";"canada";"Customer";"2023-04-21"
15;"hr@gmail.com";"asdf";"qwerr";"98765";"123456";"us";"Customer";"2023-04-21"
16;"zxcvbnm@gmail.com";"qwerrty";"zxcvba";"765432";"1234567";"canada";"Customer";"2023-04-21"
17;"nadnai@gmail.com";"nadani";"patel";"3456";"1234567879";"uk";"Customer";"2023-04-21"
18;"rohan001@gmail.com";"nandani";"patel";"12345";"1234567890";"India";"Customer";"2023-04-21"
19;"bh00001@gmail.com";"hani";"Bhavsar";"76543";"957467001";"uk";"Customer";"2023-04-21"
20;"bh00001@gmail.com";"nadani";"Bhavsar";"76543";"9727499709";"india";"Customer";"2023-04-21"
21;"parth@gmail.com";"parath";"sarmili";"3456";"9876543210";"India";"Customer";"2023-04-28"
22;"bhavsar@gmail.com";"hani";"bhavsar";"hani212";"1234567890";"uk";"Customer";"2023-04-21"
23;"bhavsar@gmail.com";"hani";"bhavsar";"hani212";"1234567890";"japan";"Customer";"2023-04-21"
24;"rekha00001@gmail.com";"rekha";"bhavsar";"hani21";"1234567890";"india";"Customer";"2023-04-22"
25;"simran0001@gmail.com";"simran";"pandita";"123456";"1234567890";"uk";"Customer";"2023-04-23"
26;"priya@gmail.com";"priya";"bhavsr";"$2a$10$KXfcoGTGaVeO.wXbJIZxiOGmzEijk/IWoeDza491Q46wO1dtPzYO6";"1234567881";"uk";"Customer";"2023-04-24"
27;"pandita0001@gmail.com";"simran";"pandita";"$2a$10$Fg4bJraVfe2t5mt9bJUcz.UAu1wwIwdbAJOGEm0VWabn1vp1hN54m";"1234567890";"uk";"Customer";"2023-04-24"
28;"sunena@gmail.com";"sunena";"Atri";"$2a$10$ew/XNeiIrcF0OMj0pVqykeH0M6t3oz0.rtN2PpvnWsq2b74pW6SAq";"1234567890";"us";"Customer";"2023-04-25"
29;"nishu@gmail.com";"nishu";"bhavsar";"$2a$10$mAdtz4Pm6qdDK9E/IGYf/.jtkZzpTIL9uxq.xKrBwMKs19X/FDkEq";"1234567890";"us";"Customer";"2023-04-25"
30;"sheyabhavsar@gmail.com";"Sherya";"bhavsar";"$2a$10$yB2eeK.1TbvzYwHHHLYTy.GmoGvlZmwydDuMmW1XwDVMUAnzhQdKW";"1234567888";"us";"Customer";"2023-04-26"
31;"jeshiv@gmail.com";"jeshiv";"patel";"$2a$10$O7WxTaz5LAd7v1AEjvnY1OCyERHcmYIf8R47O4UYBJFjS9oYvlUwG";"1234567890";"us";"Customer";"2023-04-26"
32;"ravu0001@gmail.com";"ravu";"bhavsar";"$2a$10$8BIZVZz06iIFQzSpaEwqOunqpdSoMv4p34AinqlvYfs.dPRLOnzlO";"1234567890";"canada";"Customer";"2023-04-27"
33;"abcd0001@gmail.com";"abcd";"bhavsar";"$2a$10$mDW3sjt3Ikd96rp3aGspIOaUyq.sqmu59yr3T6fhAwaFAgcpijbki";"1234567890";"canada";"Customer";"2023-04-27"
34;"qwertyu@gmail.com";"qwerty";"bhavsar";"$2a$10$gDX9/jOMq8Yx02KvJ/7QAer22.RK40ZL2SBptKMyi8gcfFobavdYG";"1234567890";"indiya";"indiya";"2023-04-28"
35;"asdfgh@gmail.com";"asdfghjk";"qwertyuiop";"$2a$10$UV1lZ3UrycUUYeqAYVGGbes7OzRBW4MmzTYGmGSNqzGbUhzs7dKU.";"1234567890";"india";"Customer";"2023-04-28"
